REF_AREA,Reference area,Measure,Unit of measure,TIME_PERIOD,OBS_VALUE
COL,Colombia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2016,85.64645963
COL,Colombia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2016,55.15305458
COL,Colombia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2017,85.5324058
COL,Colombia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2018,86.80466667
COL,Colombia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2019,87.17010526
COL,Colombia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2020,90.65091222
COL,Colombia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2021,90.8526
CRI,Costa Rica,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2020,78.89142857
CRI,Costa Rica,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2021,88.30988333
CRI,Costa Rica,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2022,87.91693273
CRI,Costa Rica,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2012,63.7513118
CRI,Costa Rica,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2013,64.34681876
CRI,Costa Rica,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2014,60.24853066
CRI,Costa Rica,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2015,61.90332723
CRI,Costa Rica,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2016,61.40004719
CRI,Costa Rica,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2017,62.15088199
CRI,Costa Rica,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2018,62.13349261
CRI,Costa Rica,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2023,90.29869487
CRI,Costa Rica,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2010,75.27405638
CRI,Costa Rica,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2011,76.5784019
CRI,Costa Rica,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2012,78.16615385
CRI,Costa Rica,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2013,76.82380952
CRI,Costa Rica,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2014,74.62276914
CRI,Costa Rica,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2015,76.64230769
CRI,Costa Rica,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2016,77.50075158
CRI,Costa Rica,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2017,75.31629412
CRI,Costa Rica,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2018,75.66291346
CRI,Costa Rica,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2020,65.02790023
CRI,Costa Rica,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2021,69.02555005
CRI,Costa Rica,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2022,69.38136703
CRI,Costa Rica,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2023,71.59624852
CRI,Costa Rica,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2010,61.12233957
CRI,Costa Rica,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2011,60.31641518
CRI,Costa Rica,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2019,76.55279446
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2023,43.77751911
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1999,27.89542271
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2000,32.44274809
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1993,34.99284237
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1994,29.51831477
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1995,24.88406289
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1996,22.58559942
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1997,19.88545975
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1998,19.83384477
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2017,35.35954225
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2003,34.14271047
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2004,35.03681945
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2005,35.61659835
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2006,36.40600466
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2007,34.9334949
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2008,32.61997877
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2009,32.21946889
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2010,31.97455895
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2011,31.33943503
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2012,30.73022702
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2013,31.31624127
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2014,31.71405119
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2015,33.0804358
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2016,34.07213656
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1991,48.80429478
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1992,43.83343295
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2001,35.36317986
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2002,39.05633346
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2003,39.51998179
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2004,40.29842593
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2005,41.16197575
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2006,42.3665739
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2007,40.7481541
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2008,38.34656462
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2009,38.32672595
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2010,37.68351117
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2011,37.13163163
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2012,36.36859572
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2013,36.86472649
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2014,37.20889511
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2015,38.7760263
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2016,39.62853254
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1991,52.24660397
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1992,46.92832765
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1993,37.46594005
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1994,31.60011491
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1995,26.64083313
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1996,25.58853634
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1997,22.38137869
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1998,22.65344503
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2017,40.97902619
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2019,37.10830126
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2020,37.79641711
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2021,37.27591534
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2022,37.31601133
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2023,37.66847388
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1999,24.29594949
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2000,27.98446039
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2001,30.57542958
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2002,33.77293229
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2018,41.80372807
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2018,36.21897637
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2019,42.92664314
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2020,43.98252749
CZE,Czechia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2021,43.21988115
EST,Estonia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2006,30.24688437
EST,Estonia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2007,29.76322916
EST,Estonia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2009,39.82522302
EST,Estonia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2001,34.88061399
EST,Estonia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2002,36.84341729
EST,Estonia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2003,39.31158045
EST,Estonia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2004,41.74736611
EST,Estonia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2005,40.14910908
EST,Estonia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2006,37.03735899
EST,Estonia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2007,35.78141686
EST,Estonia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2010,40.4092781
EST,Estonia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2011,38.16051863
EST,Estonia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2012,37.65539865
EST,Estonia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2013,38.832771
EST,Estonia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2014,39.8909176
EST,Estonia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2015,41.35033101
EST,Estonia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2016,42.36989308
EST,Estonia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2017,43.46747462
EST,Estonia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2018,43.09975127
EST,Estonia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2019,43.33868379
EST,Estonia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2020,45.54286424
EST,Estonia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2021,42.60081874
EST,Estonia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2022,42.96307486
EST,Estonia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2023,42.51867484
EST,Estonia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1999,33.55512776
EST,Estonia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2000,34.16226535
EST,Estonia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2008,32.41448931
EST,Estonia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2008,37.82631273
EST,Estonia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2009,34.12741482
EST,Estonia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2010,33.9457672
EST,Estonia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2011,32.05669941
EST,Estonia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2012,31.63237395
EST,Estonia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2013,32.62142424
EST,Estonia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2014,34.03922979
EST,Estonia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2015,35.28455858
EST,Estonia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2016,36.15455881
EST,Estonia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2017,37.09113367
EST,Estonia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2018,36.77735247
EST,Estonia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2019,36.98123545
EST,Estonia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2020,38.86207974
EST,Estonia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2021,36.35160947
EST,Estonia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2022,36.45852486
EST,Estonia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2023,36.29107091
EST,Estonia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1999,27.0505079
EST,Estonia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2000,27.53834316
EST,Estonia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2001,28.11869844
EST,Estonia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2002,29.70148629
EST,Estonia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2003,31.68687835
EST,Estonia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2004,33.6519816
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1992,59.46733501
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1993,58.78008283
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1987,50.10341382
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1962,45.13678369
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1963,47.87207646
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1964,44.8569264
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1965,44.28428778
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1966,43.55850108
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1967,42.38107709
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1986,60.73670653
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1972,50.07145879
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1973,52.44419606
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1974,55.39087985
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1975,57.58971953
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1976,56.13852441
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1977,56.67653444
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1978,56.30473734
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1979,56.5919299
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1980,56.81394398
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1981,59.87534638
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1982,61.54771059
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1983,62.01358665
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1984,62.41476678
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1985,61.81765579
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1960,50.27819554
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1961,49.37987891
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1994,59.29348753
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1995,59.39388878
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1996,59.84152703
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1997,60.46732174
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1998,61.61334159
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1999,61.55892015
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2000,61.6965759
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2001,63.11920345
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2002,63.16996073
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2003,63.87483642
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2004,65.7691879
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2005,67.02706098
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2006,63.37146838
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2007,63.30702857
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2008,62.95482174
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2009,62.75458116
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2010,62.10635618
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2011,61.97993184
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2012,63.07406923
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2013,62.80726097
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2014,62.5872671
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2015,62.34122505
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2016,62.01353193
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2017,61.78947283
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2018,61.6091436
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2019,61.49901967
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2020,61.19449258
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2021,60.97124314
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2022,60.88793938
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2023,62.21911638
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1968,48.55738552
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1969,51.22422924
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1970,50.07139201
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1971,49.50017938
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1987,60.84353022
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1988,49.71732429
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1989,49.04896186
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1990,48.62645468
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1991,49.02103101
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1992,49.23680766
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1993,48.64037585
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1994,48.95077645
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1995,48.61157351
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1996,49.18047711
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1997,49.74053851
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1998,50.73832566
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1999,50.33018681
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2000,50.16306844
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2001,50.88319102
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2002,51.07929477
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2003,51.6966568
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2004,53.0376244
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2005,54.10726123
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2006,51.04946995
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2007,50.76240464
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2008,50.65521169
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2009,50.87692735
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2010,50.26516261
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2011,50.07766554
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2012,50.89946435
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2013,50.68415563
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2014,50.50662514
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2015,50.30807432
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2016,50.04363277
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2017,49.86282173
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2018,49.71729978
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2019,49.62843206
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2020,49.38268502
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2021,49.20252736
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2022,49.13530296
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2023,50.20953515
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1968,38.86637564
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1969,41.21305385
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1970,40.47062224
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1971,40.35578783
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1972,40.9126593
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1973,43.00862941
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1974,45.2073432
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1975,46.90455244
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1976,45.90308548
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1977,46.5772321
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1978,46.38796696
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1979,47.04504768
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1980,47.45589753
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1981,49.86320897
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1982,51.10833376
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1983,51.41056432
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1984,51.68889988
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1985,51.22195795
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1960,42.78944993
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1961,40.7667481
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1962,38.54223467
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1963,37.94818182
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1964,36.29201165
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1965,35.60586508
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1966,34.70168926
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1967,33.99267415
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1986,49.94121701
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1988,60.20428288
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1989,59.66047854
FRA,France,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1990,59.07766728
DEU,Germany,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2022,48.09734825
DEU,Germany,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2023,51.69823021
DEU,Germany,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2016,41.88193294
DEU,Germany,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2017,42.80460446
DEU,Germany,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2018,41.23910473
DEU,Germany,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2019,41.79811257
DEU,Germany,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2020,41.15578165
DEU,Germany,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2021,39.49386698
DEU,Germany,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2022,42.11531207
DEU,Germany,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2023,45.26833969
DEU,Germany,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2015,48.17438692
DEU,Germany,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2015,42.55411049
